Código,Título,Autor,Lat,Lon,Año,Clase,Tipo de contenido,Procedimiento administrativo,Notas,LINK
OFF0068,Estudio de incidencias ambientales del proyecto “Central Eólica Offshore – WindFloat Atlantic”,"ECOBASE – Estudos e Soluções Sustentáveis, Lda.",41.6667,-9,2015,Comercial,Estudio de Impacto Ambiental,pendiente,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA2OCJ9
OFF0069,Propuesta de Definición del Ámbito (PDA) para el Estudio de Impacte Ambiental del Parque Eólico Offshore Caravela,WavEC Offshore Renewables,41.823792,-9.032972,2023,Comercial,Informe,pendiente,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA2OSJ9
OFF0070,Informe de consulta pública relativo a la Propuesta de Definición del Ámbito (PDA) del Estudio de Impacte Ambiental del proyecto “Parque Eólico Offshore Âncora”.,Agência Portuguesa do Ambiente,41.1333,-9.2,2023,Comercial,Informe,pendiente,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA3MCJ9
OFF0071,"Estudio técnico de gabinete elaborado para apoyar el desarrollo de parques eólicos offshore en la plataforma continental occidental portuguesa, en el área de Viana do Castelo Norte y Sur. ","IPMA Technical Team (Pedro Terrinha, Pedro Brito, Luis Batista, Ângela Pereira, João Noiva, Marta Neres)",41.6198,-9.1352,2025,Comercial,Informe,pendiente,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA3MSJ9
OFF0072,"Documento técnico de términos de referencia para la caracterización geofísica, geotécnica y ambiental de las áreas propuestas para instalaciones de energías renovables offshore en Portugal.","IPMA Technical Team (Geophysical & Geotechnical: Pedro Brito, Marcos Rosa, João Noiva, Marta Neres, Rúben Borges, Luis Batista, Ângela Pereira, Pedro Costa, Carlos Ribeiro, Pedro Terrinha; Environment: Alexandra Silva, Ana Teles-Machado, Cátia Bartilotti, Elisabete Henriques, João Pereira, Miguel Caetano, Teresa Moura)",INDET,INDET,2025,Comercial,Normativa,pendiente,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA3MiJ9
OFF0073,"Informe técnico de análisis de persistencia meteorológica y marítima para apoyar la planificación de campañas offshore en cuatro áreas de la costa occidental portuguesa: Viana do Castelo, Leixões, Figueira da Foz y Ericeira. ",Hermess B.V. (autor principal: Joris de Vroom; revisor: Jogchum Beetsma),INDET,INDET,2024,Comercial,Informe,No aplica,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA3MyJ9
OFF0074,"Estudio histórico y arqueológico de gabinete para apoyar el desarrollo de áreas propuestas para parques eólicos offshore frente a Viana do Castelo, Leixões y Figueira da Foz. ",NOVA FCSH / CHAM - Humanities Centre (José Bettencourt y Francisco Mendes),INDET,INDET,2024,Comercial,Informe,No aplica,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA3NCJ9
OFF0075,Informe técnico del proyecto OffshorePlan dedicado a definir e implementar metodologías SIG para identificar áreas de interés para la implantación de energías renovables offshore en Portugal continental. ,"Laboratório Nacional de Energia e Geologia, I.P. (Geuffer Garcia, Teresa Simões, Duarte Santos, Hanna Rybchynska y Ana Estanqueiro)",INDET,INDET,2018,Comercial,Informe,No aplica,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA3NSJ9
OFF0076,Documento de Propuesta de Definición de Alcance (PDA) para el futuro EIA del Parque Eólico Offshore Barlavento,WavEC Offshore Renewables,40.3042,-9.5239,2023,Comercial,Informe,pendiente,Disponible,https://intranet.saitec.es/?m=kn&i=eyJhcHAiOiJwcm95ZWN0b3NfZXh0ZXJub3MiLCJwYXRoIjoiT2Zmc2hvcmUvT0ZGMDA3NiJ9
